dataset,split,filename,label,width,height,aspect_ratio,brightness,contrast,blur_var,red_mean,green_mean,blue_mean
REFUGE2,train,g0001.jpg,1.0,2124.0,2056.0,1.0330739299610896,35.01935958862305,24.105470657348633,4.436657905578613,52.959693908691406,31.978668212890625,20.11971664428711
REFUGE2,train,g0002.jpg,1.0,2124.0,2056.0,1.0330739299610896,41.612667083740234,25.85857391357422,6.085731506347656,67.60843658447266,36.06199645996094,21.167585372924805
REFUGE2,train,g0003.jpg,1.0,2124.0,2056.0,1.0330739299610896,58.17167663574219,30.046585083007812,12.410322189331055,90.23056030273438,58.39504623413086,25.889413833618164
REFUGE2,train,g0004.jpg,1.0,2124.0,2056.0,1.0330739299610896,62.75199890136719,32.871063232421875,14.82315444946289,97.97907257080078,62.05435562133789,28.22256088256836
REFUGE2,train,g0005.jpg,1.0,2124.0,2056.0,1.0330739299610896,50.59280014038086,29.56839370727539,10.498491287231445,84.33221435546875,48.081031799316406,19.365154266357422
REFUGE2,train,g0006.jpg,1.0,2124.0,2056.0,1.0330739299610896,32.94741439819336,26.196643829345703,3.6842079162597656,54.429832458496094,28.948654174804688,15.463750839233398
REFUGE2,train,g0007.jpg,1.0,2124.0,2056.0,1.0330739299610896,30.383506774902344,22.171682357788086,3.5970497131347656,50.17708969116211,26.782062530517578,14.191366195678711
REFUGE2,train,g0008.jpg,1.0,2124.0,2056.0,1.0330739299610896,51.17323684692383,30.025638580322266,6.120182991027832,81.0126953125,50.47104263305664,22.035972595214844
REFUGE2,train,g0009.jpg,1.0,2124.0,2056.0,1.0330739299610896,45.521907806396484,27.651935577392578,5.946474075317383,75.79300689697266,41.05867004394531,19.714040756225586
REFUGE2,train,g0010.jpg,1.0,2124.0,2056.0,1.0330739299610896,42.278045654296875,27.121337890625,5.52894401550293,70.91741180419922,37.9018440246582,18.014890670776367
REFUGE2,train,g0011.jpg,1.0,2124.0,2056.0,1.0330739299610896,52.722103118896484,27.591873168945312,8.97420597076416,92.60066986083984,47.924888610839844,17.6407413482666
